bin,"ceH,22","ceH,33","c(3)Hq","cbH","cHG","ctG","ctH","cHB","cHW","cHWB","ctB","ctW","cW","cHu","c(1)Hq","cHd","c(3)Hl,33","cHt","cHe,33","c(1)Hl,33","cHb","cG","c(1,8)Qq","c(3,1)Qq","c(8)tq","c(8)Qu","c(8)tu","c(8)td","c(8)Qd","c(3,8)Qq","c(1,1)Qq","c(1)tu","c(1)tq","c(1)Qu","c(1)Qd","cHbox","c(3)Hl,11","c(3)Hl,22","cll,1221","c(1)Hl,11","c(1)Hl,22","cHe,11","cHe,22","cHDD","c(3)HQ","c(1)HQ","cH10"
"qq->Hqq,>=2-jet,350<=mjj<1000GeV,pTH>=200GeV",,,-0.89,,,,,0.01,0.31,0.02,,,,-0.06,0.04,0.02,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.03,,,-0.01
"qq->Hqq,>=2-jet,350<=mjj<700GeV,pTH<200GeV",,,-0.35,,,,,,-0.11,0.02,,,,-0.03,,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.03,,,-0.02
"qq->Hqq,>=2-jet,700<=mjj<1000GeV,pTH<200GeV",,,-0.39,,,,,,-0.13,0.02,,,,-0.02,,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.03,,,-0.02
"qq->Hqq,>=2-jet,mjj>=1000GeV,pTH<200GeV",,,-0.4,,,,,,-0.13,0.02,,,,-0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.03,,,-0.02
"qq->Hqq,>=2-jet,1000<=mjj<1500GeV,pTH<200GeV",,,-0.4,,,,,,-0.13,0.02,,,,-0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.03,,,-0.02
"qq->Hqq,>=2-jet,mjj>=1500GeV,pTH<200GeV",,,-0.4,,,,,,-0.14,0.02,,,,-0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.03,,,-0.02
"qq->Hqq,>=2-jet,mjj>=1000GeV,pTH>=200GeV",,,-1.63,,,,,,0.19,0.03,,,,-0.07,0.17,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,,,,-0.01
"qq->Hqq,>=2-jet,mjj>=350GeV,pTH>=200GeV",,,-1.25,,,,,0.01,0.25,0.03,,,,-0.07,0.1,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.01,,,-0.01
"qq->Hqq,>=2-jet,mjj>=350GeV",,,-0.47,,,,,,-0.08,0.02,,,,-0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.09,,,,,-0.01,,,-0.02
"VH-lep",,,1.83,,-0.01,-0.01,,0.03,0.81,0.09,,,,0.13,-0.02,-0.05,0.03,,,,,,,,,,,,,,,,,,,0.12,-0.1,-0.1,0.06,,,,,-0.01,-0.01,,-0.04
"qq->Hqq,VH,H->mumu",,,0.33,,,,,0.01,0.2,0.04,,,,0.02,,-0.01,,,,,,,,,,,,,,,,,,,,0.12,-0.16,-0.16,0.08,,,,,-0.01,,,-0.02
"gg/qq->Hll,75<=pTV<150GeV",,,1.5,,-0.05,-0.04,0.01,0.07,0.67,0.26,,,,0.32,-0.04,-0.11,0.03,-0.01,-0.01,-0.01,0.01,,,,,,,,,,,,,,,0.12,-0.1,-0.1,0.06,-0.01,-0.01,0.01,-0.01,0.01,-0.02,-0.01,-0.02
"gg/qq->Hll,pTV<150GeV",,,1.22,,-0.03,-0.02,,0.07,0.65,0.26,,,,0.26,-0.02,-0.09,0.03,,-0.01,-0.01,0.01,,,,,,,,,,,,,,,0.12,-0.1,-0.1,0.06,-0.01,-0.01,-0.01,-0.01,0.01,-0.02,-0.02,-0.05
"gg/qq->Hll,150<=pTV<250GeV",,,2.63,,-0.09,-0.08,0.02,0.07,0.66,0.26,,,,0.56,-0.17,-0.24,0.03,-0.02,-0.01,-0.01,0.01,,,,,,,,,,,,,,,0.12,-0.1,-0.1,0.07,-0.01,-0.01,-0.01,-0.01,0.01,-0.03,,
"gg/qq->Hll,250<=pTV<400GeV",,,5.82,,-0.07,-0.1,0.03,0.06,0.73,0.27,,,,1.24,-0.47,-0.34,0.03,-0.03,-0.01,-0.01,0.01,,,,,,,,,,,,,,,0.12,-0.1,-0.1,0.07,-0.01,-0.01,-0.01,-0.01,0.02,-0.05,0.01,0.01
"gg/qq->Hll,pTV>150GeV",,,3.76,,-0.08,-0.09,0.02,0.07,0.68,0.26,,,,0.81,-0.28,-0.29,0.03,-0.02,-0.01,-0.01,0.01,,,,,,,,,,,,,,,0.12,-0.1,-0.1,0.07,-0.01,-0.01,-0.01,-0.01,0.02,-0.04,0.01,
"gg/qq->Hll,pTV>=400GeV",,,15.27,,-0.07,-0.12,0.04,0.05,0.8,0.29,,,,3.48,-1.44,-1.08,0.03,-0.03,-0.01,-0.01,0.01,,,,,,,,,,,,,,,0.12,-0.11,-0.09,0.07,-0.01,-0.01,-0.01,-0.01,0.03,-0.05,0.02,0.01
"ttH",,,,,0.52,-0.9,-0.12,,,,,-0.01,,,,,,,,,,0.1,0.09,0.03,0.09,0.05,0.05,0.03,0.04,0.02,0.01,0.01,0.01,0.01,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.15
"ttH,0<=pTH<120GeV",,,,,0.45,-0.83,-0.12,,,,,-0.01,,,,,,,,,,0.03,0.06,0.02,0.06,0.04,0.04,0.02,0.02,0.01,,0.01,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.19
