bin,"ceH,22","ceH,33",c(3)Hq,cbH,cHG,ctG,ctH,cHB,cHW,cHWB,ctB,ctW,cW,cHu,c(1)Hq,cHd,"c(3)Hl,33",cHt,"cHe,33","c(1)Hl,33",cHb,cG,"c(1,8)Qq","c(3,1)Qq",c(8)tq,c(8)Qu,c(8)tu,c(8)td,c(8)Qd,"c(3,8)Qq","c(1,1)Qq",c(1)tu,c(1)tq,c(1)Qu,c(1)Qd,cHbox,"c(3)Hl,11","c(3)Hl,22","cll,1221","c(1)Hl,11","c(1)Hl,22","cHe,11","cHe,22",cHDD,c(3)HQ,c(1)HQ,cH
H->bb,"0.0","0.0",0.0,-5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0
H->mumu,"-199.74","0.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0
H->tautau,"0.0","-11.88",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0
H->WW(->lvlv),"0.0","0.0",-0.08,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"-0.01",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.07","-0.07","0.06","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.003
H->Zga,"0.0","0.0",0.0,-0.01,0.0,0.0,0.01,14.68,-14.75,9.21,-0.07,0.46,-0.08,0.0,0.0,0.0,"0.0",0.02,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.18","0.0","0.0","0.0","0.0",-0.12,-0.02,0.02,-0.003
H->all,"-0.04","-0.75",0.0,-2.95,3.21,-0.11,-0.01,-0.09,-0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.08","-0.08","0.04","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.001
∆H->ZZ(->4l),"0.0","0.0",0.0,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.0,0.0,0.0,0.0
"∆ggF,H->WW(->lvlv)","0.0","0.0",0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.0,0.0,0.0,0.0
"∆qq->Hqq,H->WW(->lvlv)","0.0","0.0",0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0.0,0.0,0.0,0.0
none,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0",0,0,"0","0",0,0,0,0,0,"0","0",0,0,0,0,0,"0","0","0","0","0","0","0",0,0,0,0
